Gm#,Date,,Tm,,Opp,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,Streak,Orig. Scheduled
101,Wednesday Jul 24,boxscore,MIN,,NYY,L,7,10,,61-40,1,up 2.0,Cortes,Odorizzi,Chapman,3:24,N,40127,--,
102,Thursday Jul 25,boxscore,MIN,@,CHW,W,10,3,,62-40,1,up 2.0,Berrios,Giolito,,3:01,N,22087,+,
103,Friday Jul 26,boxscore,MIN,@,CHW,W,6,2,,63-40,1,up 2.0,Pineda,Cease,,2:50,N,22602,++,
104,Saturday Jul 27,boxscore,MIN,@,CHW,L,1,5,,63-41,1,up 1.0,Nova,Perez,,3:04,N,34085,-,
105,Sunday Jul 28,boxscore,MIN,@,CHW,W,11,1,,64-41,1,up 2.0,Gibson,Covey,,3:14,D,27595,+,
106,Tuesday Jul 30,boxscore,MIN,@,MIA,W,2,1,,65-41,1,up 3.0,Odorizzi,Gallen,Rogers,3:11,N,8064,++,
107,Wednesday Jul 31,boxscore,MIN,@,MIA,W,7,4,,66-41,1,up 3.0,Berrios,Alcantara,,2:41,N,8567,+++,
108,Thursday Aug 1,boxscore,MIN,@,MIA,L-wo,4,5,12,66-42,1,up 3.0,Brigham,Stashak,,4:14,D,10390,-,
109,Friday Aug 2,boxscore,MIN,,KCR,W,11,9,,67-42,1,up 3.0,May,Lovelady,Romo,3:14,N,41578,+,
110,Saturday Aug 3,boxscore,MIN,,KCR,W,11,3,,68-42,1,up 3.0,Gibson,Duffy,,2:53,N,36823,++,
111,Sunday Aug 4,boxscore,MIN,,KCR,W,3,0,,69-42,1,up 3.0,Smeltzer,Keller,Rogers,2:28,D,30171,+++,
112,Monday Aug 5,boxscore,MIN,,ATL,W-wo,5,3,,70-42,1,up 4.0,May,Martin,,3:01,N,26722,++++,
113,Tuesday Aug 6,boxscore,MIN,,ATL,L,7,12,,70-43,1,up 3.5,Foltynewicz,Berrios,,3:27,N,36721,-,
114,Wednesday Aug 7,boxscore,MIN,,ATL,L,7,11,,70-44,1,up 2.0,Fried,Perez,,3:33,D,35682,--,
115,Thursday Aug 8,boxscore,MIN,,CLE,L,5,7,,70-45,1,up 1.0,Clevinger,Gibson,Hand,3:39,N,32517,---,
116,Friday Aug 9,boxscore,MIN,,CLE,L,2,6,,70-46,1,Tied,Bieber,Smeltzer,,3:09,N,36641,----,
117,Saturday Aug 10,boxscore,MIN,,CLE,W,4,1,,71-46,1,up 1.0,Odorizzi,Plutko,Rogers,3:07,N,35268,+,
118,Sunday Aug 11,boxscore,MIN,,CLE,L,3,7,10,71-47,1,Tied,Hand,Rogers,,3:29,D,37849,-,
119,Tuesday Aug 13,boxscore,MIN,@,MIL,W,7,5,,72-47,1,up 0.5,Duffey,Pomeranz,Romo,3:47,N,44331,+,
120,Wednesday Aug 14,boxscore,MIN,@,MIL,L,5,6,,72-48,1,up 0.5,Guerra,Romo,Albers,3:48,D,41077,-,
121,Thursday Aug 15,boxscore,MIN,@,TEX,W,13,6,,73-48,1,up 0.5,Pineda,Payano,Smeltzer,3:18,N,20494,+,
122,Friday Aug 16,boxscore,MIN,@,TEX,W,4,3,,74-48,1,up 1.5,Duffey,Minor,Romo,3:12,N,24742,++,
123,Saturday Aug 17,boxscore,MIN,@,TEX,W,12,7,,75-48,1,up 2.5,Duffey,Jurado,,3:30,N,30136,+++,
124,Sunday Aug 18,boxscore,MIN,@,TEX,W,6,3,,76-48,1,up 2.5,Dyson,Clase,Rogers,3:49,D,18500,++++,
125,Monday Aug 19,boxscore,MIN,,CHW,L,4,6,,76-49,1,up 2.0,Nova,Gibson,Colome,3:27,N,25564,-,
126,Tuesday Aug 20,boxscore,MIN,,CHW,W,14,4,,77-49,1,up 3.0,Pineda,Lopez,,2:55,N,26798,+,
127,Wednesday Aug 21,boxscore,MIN,,CHW,L,0,4,,77-50,1,up 3.0,Giolito,Odorizzi,,3:16,D,31389,-,
128,Friday Aug 23,boxscore,MIN,,DET,L,6,9,,77-51,1,up 2.5,VerHagen,Berrios,,3:26,N,31238,--,
129,Saturday Aug 24,boxscore,MIN,,DET,W,8,5,,78-51,1,up 2.5,Gibson,Jackson,Rogers,3:23,N,39429,+,
130,Sunday Aug 25,boxscore,MIN,,DET,W,7,4,,79-51,1,up 3.5,Perez,Boyd,,2:50,D,32892,++,
131,Tuesday Aug 27,boxscore,MIN,@,CHW,W,3,1,,80-51,1,up 3.5,Pineda,Giolito,Rogers,3:16,N,12175,+++,
132,Wednesday Aug 28,boxscore,MIN,@,CHW,W,8,2,,81-51,1,up 3.5,Odorizzi,Detwiler,,3:14,N,16802,++++,
133,Thursday Aug 29,boxscore,MIN,@,CHW,W,10,5,,82-51,1,up 3.5,Berrios,Cease,Dobnak,3:20,D,15886,+++++,
134,Friday Aug 30,boxscore,MIN,@,DET,W,13,5,,83-51,1,up 4.5,Gibson,Jackson,,3:31,N,17273,++++++,
135,Saturday Aug 31,boxscore,MIN,@,DET,L,7,10,,83-52,1,up 4.5,Boyd,Perez,,3:20,N,16713,-,
136,Sunday Sep 1,boxscore,MIN,@,DET,W,8,3,,84-52,1,up 5.5,Pineda,Turnbull,,3:07,D,13776,+,
137,Monday Sep 2,boxscore,MIN,@,DET,W,4,3,,85-52,1,up 5.5,Littell,Farmer,Rogers,3:07,D,14614,++,
138,Tuesday Sep 3,boxscore,MIN,@,BOS,W,6,5,,86-52,1,up 6.5,Thorpe,Porcello,Rogers,3:28,N,35129,+++,
139,Wednesday Sep 4,boxscore,MIN,@,BOS,L,2,6,,86-53,1,up 5.5,Rodriguez,Berrios,Workman,3:22,N,35218,-,
140,Thursday Sep 5,boxscore,MIN,@,BOS,W,2,1,,87-53,1,up 6.5,Perez,Cashner,Rogers,2:58,N,32632,+,
141,Friday Sep 6,boxscore,MIN,,CLE,L,2,6,11,87-54,1,up 5.5,Clippard,Thorpe,,4:16,N,35418,-,
142,Saturday Sep 7,boxscore,MIN,,CLE,W,5,3,,88-54,1,up 6.5,Littell,Cimber,Rogers,3:16,N,39573,+,
143,Sunday Sep 8,boxscore,MIN,,CLE,L,2,5,,88-55,1,up 5.5,Clevinger,Dobnak,Hand,3:07,D,31380,-,
144,Tuesday Sep 10,boxscore,MIN,,WSN,W,5,0,,89-55,1,up 5.0,Berrios,Sanchez,,2:32,N,24813,+,
145,Wednesday Sep 11,boxscore,MIN,,WSN,L,2,6,,89-56,1,up 4.0,Strasburg,Perez,,3:12,N,20062,-,
146,Thursday Sep 12,boxscore,MIN,,WSN,L,6,12,,89-57,1,up 3.5,Corbin,Gibson,,3:45,N,19167,--,
147,Saturday Sep 14 (1),boxscore,MIN,@,CLE,W,2,0,,90-57,1,up 5.5,Littell,Clevinger,Rogers,2:53,D,24258,+,
148,Saturday Sep 14 (2),boxscore,MIN,@,CLE,W,9,5,,91-57,1,up 5.5,Graterol,Perez,,3:02,N,31841,++,
149,Sunday Sep 15,boxscore,MIN,@,CLE,L,5,7,,91-58,1,up 4.5,Wittgren,Romero,Perez,3:09,D,26414,-,
150,Monday Sep 16,boxscore,MIN,,CHW,W,5,3,,92-58,1,up 5.0,Berrios,Lopez,Rogers,2:42,N,21850,+,
151,Tuesday Sep 17,boxscore,MIN,,CHW,W-wo,9,8,12,93-58,1,up 5.0,Harper,Ruiz,,4:51,N,22518,++,
152,Wednesday Sep 18,boxscore,MIN,,CHW,L,1,3,,93-59,1,up 4.0,Fry,Odorizzi,Colome,3:09,N,23759,-,
153,Thursday Sep 19,boxscore,MIN,,KCR,W,8,5,,94-59,1,up 4.0,Thorpe,Barnes,Rogers,3:37,N,24565,+,
154,Friday Sep 20,boxscore,MIN,,KCR,W,4,3,,95-59,1,up 4.0,Dobnak,Skoglund,May,3:00,N,29468,++,
155,Saturday Sep 21,boxscore,MIN,,KCR,L,5,12,,95-60,1,up 4.0,Rosario,Rogers,,3:25,N,37750,-,
156,Sunday Sep 22,boxscore,MIN,,KCR,W,12,8,,96-60,1,up 4.0,Littell,Lopez,,4:05,D,31628,+,
157,Tuesday Sep 24,boxscore,MIN,@,DET,W,4,2,,97-60,1,up 4.0,Odorizzi,Turnbull,Rogers,2:53,N,16174,++,
158,Wednesday Sep 25,boxscore,MIN,@,DET,W,5,1,,98-60,1,up 5.0,Dobnak,VerHagen,,2:32,N,16242,+++,
159,Thursday Sep 26,boxscore,MIN,@,DET,W,10,4,,99-60,1,up 6.0,Smeltzer,Zimmermann,,3:07,D,17557,++++,
160,Friday Sep 27,boxscore,MIN,@,KCR,W,6,2,7,100-60,1,up 7.0,Berrios,Skoglund,,1:54,N,15389,+++++,
161,Saturday Sep 28,boxscore,MIN,@,KCR,W,4,3,,101-60,1,up 8.0,Duffey,Barnes,Rogers,3:04,D,21995,++++++,
162,Sunday Sep 29,boxscore,MIN,@,KCR,L-wo,4,5,,101-61,1,up 8.0,Kennedy,Graterol,,2:40,D,17875,-,
